Item Group Name,Item Group ID,Group Default Selling Price,Group Default Buying Price,Group Default Commission Type,Group Default Commission Value,Item Name,Item ID,Item SKU,Item Base Price,Item Cost Price,Item Commission Type,Item Commission Value
Accessories,e7ef1c23-6326-49bb-86ca-2b6efcc2eeee,,,none,,Adhesive Ceramic,f18454e7-4be4-40bf-82cb-aa2305d0c411,,450.00,,none,
Accessories,e7ef1c23-6326-49bb-86ca-2b6efcc2eeee,,,none,,Adhesive Granite,32b28728-6cde-4c93-8d2c-4533a43cae96,,600.00,,none,
Accessories,e7ef1c23-6326-49bb-86ca-2b6efcc2eeee,,,none,,Cistern mzuri plastic,71ea8ad7-7e17-4b0f-83d1-4ccdd49e9d76,,2000.00,,none,
Accessories,e7ef1c23-6326-49bb-86ca-2b6efcc2eeee,,,none,,Cornerstrip Angle line,5a31f919-3368-4c90-8b1f-83260337a0d7,PRD-93547353,700.00,,none,
Accessories,e7ef1c23-6326-49bb-86ca-2b6efcc2eeee,,,none,,Cornerstrip C-Shape,71a1b62c-42ca-47d7-bcb2-e32c900fe202,,200.00,,none,
Accessories,e7ef1c23-6326-49bb-86ca-2b6efcc2eeee,,,none,,Cornerstrip L-Shape,22aed0f0-e1b6-49ee-a772-60b6e665a33d,,250.00,,none,
Accessories,e7ef1c23-6326-49bb-86ca-2b6efcc2eeee,,,none,,Cornerstrip Pvc,2e21489d-7582-40eb-bd0e-08b7c59d149f,,100.00,,none,
Accessories,e7ef1c23-6326-49bb-86ca-2b6efcc2eeee,,,none,,Flexpipe - 12inch,ceca7fa0-da8b-4ce1-8b81-ac5932a666f1,,250.00,,none,
Accessories,e7ef1c23-6326-49bb-86ca-2b6efcc2eeee,,,none,,Flexpipe - 16inch,bd0aa03b-c6dc-4e7e-934d-e05930c31a93,,250.00,,none,
Accessories,e7ef1c23-6326-49bb-86ca-2b6efcc2eeee,,,none,,Flexpipe - pvc,38e37dae-c8ef-4784-b194-1b27069be270,,250.00,,none,
Accessories,e7ef1c23-6326-49bb-86ca-2b6efcc2eeee,,,none,,Grouts(1kg) Beige,a9eee509-8f40-45b1-9516-06291b2a2917,,100.00,,none,
Accessories,e7ef1c23-6326-49bb-86ca-2b6efcc2eeee,,,none,,Grouts(1kg) Grey,7c75f9ba-5b83-42b7-9f3d-1a6a674ba4b8,,100.00,,none,
Accessories,e7ef1c23-6326-49bb-86ca-2b6efcc2eeee,,,none,,Grouts(1kg) White,7a0ff59b-4584-4c3c-b2be-09887277ba5f,,100.00,,none,
