Name,Item group,Stock
Adhesive Ceramic,Accessories,502
Adhesive Granite,Accessories,207
Basin HH002,Basins,1
Basin Mzuri,Basins,1
Basin PB326,Basins,1
Basin Ujenzi blue/pink,Basins,1
BLO44031,BLO44/FGE44,1
BLO44033,BLO44/FGE44,6
BLO44086,BLO44/FGE44,2
BLO44116,BLO44/FGE44,905
BLO44125,BLO44/FGE44,0
BLO44126,BLO44/FGE44,3
CG45004,MRS45/CG45,4
Cistern mzuri plastic,Accessories,1
Cornerstrip Angle line,Accessories,39
Cornerstrip C-Shape ,Accessories,40
Cornerstrip L-Shape,Accessories,108
Cornerstrip Pvc,Accessories,110
CX66017,MRP66/YMP66/PGS55,1
CX66038,MRP66/YMP66/PGS55,3
FGB44537,FGB44,0
FGB44645,FGB44,0
FGB44693,FGB44,4
FGB44694,FGB44,0
FGB44712,FGB44,1
FGB44725,FGB44,0
FGB44727,FGB44,4
FGB44728,FGB44,2
FGB44769,FGB44,2
FGC66200,MR66/FGC66/FGP55,68
FGE44698,BLO44/FGE44,1
FGE44751,BLO44/FGE44,1
FGP33006,PMCP24/FGP33,2
FGP33091,PMCP24/FGP33,0
FGP33108,PMCP24/FGP33,0
FGP33516,PMCP24/FGP33,0
FGP33530,PMCP24/FGP33,0
FGP33547,PMCP24/FGP33,0
FGP33703,PMCP24/FGP33,3
FGP33725,PMCP24/FGP33,0
FGP33746,PMCP24/FGP33,2
FGP33768,PMCP24/FGP33,0
FGP33778,PMCP24/FGP33,0
Flexpipe - 12inch,Accessories,10
Flexpipe - 16inch,Accessories,5
Flexpipe - pvc,Accessories,11
GG44508,GG44,0
GG44513,GG44,0
GG44585,GG44,0
Grouts(1kg) Beige,Accessories,54
Grouts(1kg) Cream,Accessories,20
Grouts(1kg) Grey,Accessories,14
Grouts(1kg) White,Accessories,2
Grouts(3kg) Beige,Accessories,3
Grouts(3kg) Grey,Accessories,5
Grouts(3kg) White,Accessories,3
GW24090,GW24,0
GW24107,GW24,0
GW24119,GW24,2
MCP36003,MCP36,11
MCP36006,MCP36,0
MCP36012,MCP36,0
MCP36999,MCP36,41
MR36002,MR36,35
MR36009 BLACK,MR36,1
MR36029,MR36,3
MR36042,MR36,4
MR40009,MR44,6
MR40048,MR44,1
MR66185,MR66/FGC66/FGP55,1
MRG44013,MRG44,0
MRP66003,MRP66/YMP66/PGS55,2
PGS55020,MRP66/YMP66/PGS55,1
PMCP24101,PMCP24/FGP33,51
PMCP24104,PMCP24/FGP33,275
PMCP24310,PMCP24/FGP33,3
PMCP24331,PMCP24/FGP33,10
PMCP24333,PMCP24/FGP33,200
PMCP24350,PMCP24/FGP33,2
PMCP24351,PMCP24/FGP33,1
PMCP24358,PMCP24/FGP33,5
PMCP24359AK,PMCP24/FGP33,5
PMCP24369,PMCP24/FGP33,0
PMCP24370,PMCP24/FGP33,1
PMCP24375,PMCP24/FGP33,47
PMCP24384,PMCP24/FGP33,1
PMCP24387,PMCP24/FGP33,0
PMCP24395,PMCP24/FGP33,4
PMCP24397,PMCP24/FGP33,1
PMCP24402,PMCP24/FGP33,0
PMCP24406,PMCP24/FGP33,6
PMHP24320,PMCP24/FGP33,9
PMHP24323,PMCP24/FGP33,11
PMHP24328CK,PMCP24/FGP33,11
Pulldown Kitchen Faucet,Taps,2
Spacers 2.5mm,Accessories,0
Spacers 2mm,Accessories,59
Staircase (step & riser),MR612/MRP612,16
Tiling Gloves,Accessories,5
Toilet DFT013,Toilets,0.5
Toilet DYG001,Toilets,1
Toilet Low Level ,Toilets,5
Toilet Pink,Toilets,1.5
Toilet WC008,Toilets,1
Toilet WC100,Toilets,1
TW-25000,GW24,1
WK25165,GW24,1
WK25173,GW24,3
YMP66444,MRP66/YMP66/PGS55,2
YMP66909,MRP66/YMP66/PGS55,3
